itemID,userID,listPrice,datePosted,category,postType,itemDescription,keywords,condition
1000000,x2018aaa,0,-22102018,TECH,L,wDAYFVQvV1UBdhL6FDUHaUt5cLvIc7hY36esxMHCPiM0Tfml6LrWzdAazyCO,"GREE
",mint
1000001,x2019aab,$84.00,-06042019,TECH,B,MtQpCOii43m9xsNOumJX3WBb0OSC6pUWVUeoT0FWzm09bazMQLqEQpT9fDAO,"ORAN
",mint
1000002,x2019aac,0,-12032017,TECH,L,uiBHYE4BuczCgr7EbrzaeJ5iZymv32VhAZEA6lRr1ANcSMFW864KEig6ROny,"RED
",poor
1000003,x2019aad,$61.00,-16032017,TECH,B,pbrSPpN8x6cj6r4nmpU0ewLgxVs0RbZ0rAeZzCTxUx4sskOss6U0t936REsA,"RED
",decent
1000004,x2020aae,0,-11022020,TECH,L,F1Fw9GmPslC65dxbvdsDv2ZyoyEkdByq7ozQgDfQYhPXrvvLFhZ1MYgskfLH,"YELL
",poor
1000005,x2014aaf,$47.00,-09052017,TECH,B,hdfpphA1xqMn30ukZcn7vYkGnCd1VU2vCgVjOv3aYwfDLD1aEL3yRNKf9d0W,"ORAN
",poor
1000006,x2014aag,0,-20102018,TECH,L,DIE8pCt50Z75KG2vaJ4ZuQya1SjUMLq7Zr6AESUnYs7C58WRaYnlJG7xzL3F,"GREE
",new
1000007,x2014aah,$13.00,-02042018,TECH,B,XHBiFusn1Gq1z5krQiQK3w8t14zGYxMpxyz6lTPKqOdWDfOlgY5UJoaCdYLi,"RED
",new
1000008,x2017aai,0,-22042015,TECH,L,iCNUg0nHebKfSu9KfyJOCjm8S2HKnfVY43EFcuDMsZxu2aooBhJUvxCSBjMM,"YELL
",new
1000009,x2017aaj,$70.00,-22052015,TECH,B,gNxXfXnB21Z1jp5mwy8QqoWDqssvqKandqrK09BmtCaTJpVvas45Qx74MXPD,"YELL
",new
1000010,x2018aak,0,-13032019,TECH,L,tQgExO31OVft4oJnerZzoRohIYJ1wQ58JwxxwlBbwx5mkwNvmuFLvtmIpQSG,"YELL
",used
1000011,x2018aal,$40.00,-21012019,TECH,B,pqPXhNpInQcgk83I9X4731JYWeZTBnA4c4GLHVqLroK2nZJp8kP9ANfBV462,"ORAN
",poor
1000012,x2017aam,0,-22012019,TECH,L,f0OzRUTqfAy9kS1fUQmUnNP5lSgukl6M4RKgVxzCkQJu0FmDgn1rAIIvBnh3,"BLUE
",used
1000013,x2018aan,$105.00,-02072015,TECH,B,ed0wCrOVHspBx7oZ3iMFStHkC0D1lvRrLKxmOuGT49BvSepvme7005ObOsQw,"YELL
",poor
1000014,x2020aao,0,-05062016,TECH,L,hiPdxHmW1Wxvv2LWjlm8tyJBvRsf4gUYQbqOGGH4PWK4DcuYQEJ2On3ZQn79,"GREE
",new
1000015,x2016aap,$21.00,-20112015,TECH,B,8S1D43fcCgDvOwUAVVN7fcdr8v5DWmeAej7y62G7qh6VhWDi3lfd7Uz93eBj,"BLUE
",poor
1000016,x2020aaq,0,-10092017,TECH,L,MuZGtrgrAaSxebG54kQHlByh3Zh1uREd50t8snP6y7ujeJMT2nUtKUe24JjL,"RED
",poor
1000017,x2015aar,$38.00,-13112016,TECH,B,k597fovdDTNhnODeZo31HVVnlePZH326a30JMNw68nejTfEiJpCY6i95FfHC,"RED
",decent
1000018,x2016aas,0,-15062015,TECH,L,v2Gmia5DnVWE7S7bzobHyC61gu3scRRE8lRvRU8CgA9XgcjZNkCIGXLUJUCo,"RED
",used
1000019,x2016aat,$111.00,-15002015,TECH,B,jz8IUKalwt00u9OwEXksNTmMGJdFzpA5sTKGvrtXKtv9I0GhQzqX1f2tggbx,"ORAN
",decent
1000020,x2017aau,0,-07112020,TECH,L,62JkNIe5sIhyGS1ku51r0DhpF7c7uSLuHDQaftrXF5JsgAMzTLbNl21N5pqo,"RED
",decent
1000021,x2016aav,$34.00,-17082018,TECH,B,RYuYrfNoAHyBLh4aHBSBvBO2CzhJpaz4FiLW8eToSPxkZwksezmNXf4jJunF,"BLUE
",used
1000022,x2015aaw,0,-06042016,TECH,L,h0XvePRjylbNAobG9WRCEbBdml615GXNsqzDIhtdbxmVFejVrgESLhacp6DN,"BLUE
",mint
1000023,x2015aax,$37.00,-09052015,TECH,B,pv9xiQW9stIv9UdP52AMh8eP83MGffFI9jLdq1HzSCBPgcF27lOdz5ZVmfvB,"ORAN
",poor
1000024,x2019aay,0,-11052020,TECH,L,5wWu4bUfqBrhdIER5Oglyc0xxLcXIOT8gI1CsrVrErZOfhbMDjT5Tc4oRO23,"ORAN
",decent
1000025,x2015aaz,$62.00,-01032018,TECH,B,WSo7o7M0nAsmptr0JRLvjgWhdY5eFxTrKDeQFuaXvD6nnCnPNvAWq5DphIPU,"RED
",used
1000026,x2015aba,0,-23022020,TECH,L,CkHeDhciTvEgNgCtlLldDOdTRCKeL26SplYAUuKi6pOjcBDlQKynSByK0hym,"YELL
",used
1000027,x2014abb,$98.00,-05102017,TECH,B,CnnXsByGXzC9KXs6j2GUwX0hf7uQLOD2IBn6LDAaVIlI7nPXWY2LbAuWA4nd,"GREE
",decent
1000028,x2018abc,0,-15102020,TECH,L,ebgAAaBDJLqQBya4Bhb9vKsncO1QE2LQtiJ3GkY3t8ktPOR16JeonmXujZHS,"GREE
",poor
1000029,x2017abd,$59.00,-15012017,TECH,B,0drx44HC8YRnHu5ZW66n204ZK21oL2iDSLuqWK0aht3AIWB77Qo5g7hjHcP2,"GREE
",decent
1000030,x2017abe,0,-15112015,TECH,L,cZGhmqObTENl3qrqUVZsXbgehFQ7AJG37xIyHhnJYaF0xQIljQFlPzdCmnrZ,"BLUE
",used
1000031,x2017abf,$68.00,-08072016,TECH,B,YXXSLZ3jpcsiSxVcFWodmsNBUP5oRWO9tvTY8mQ9mCWHNICHghj0ln5k2e81,"GREE
",decent
1000032,x2014abg,0,-18032020,TECH,L,FXrkThU82zgEvQg2kKk5Q3kRUQ82RrVuZ7vfQQ3KzQZgXdIDJRlK2BDOWfSt,"BLUE
",used
1000033,x2020abh,$41.00,-09112018,TECH,B,I1vRSs1V8hQjXb2knVWJ2MZgWTz39BVrbYDCbmPLylXYacCePe1SVaAFqV3a,"RED
",new
1000034,x2014abi,0,-20012015,TECH,L,yfGfHqvVYV3H9XJz4lDCXLrUs3bjJI4RLu1owEuU4gkK17cKQKpNd84rk7nz,"ORAN
",new
1000035,x2019abj,$112.00,-04102020,TECH,B,Z9xgG6x4Gj8qJeCKhRGs3z4Mouy10mnG3BHN2gxGvQwCkojQAoQXxm1t4CH7,"BLUE
",mint
1000036,x2017abk,0,-10012015,TECH,L,8cL9bvkQZuY45YWHQmC3A2qGJET0EDDry8MoayxjeprOpGmlIoEh11glO3aN,"GREE
",used
1000037,x2014abl,$114.00,-23082017,TECH,B,Yq5671ooC38ziOjSNKiX4B5kYTHQBSGtIDuPRhuzVl3FJrGIlIVk7XapUIsF,"YELL
",new
1000038,x2015abm,0,-14052017,TECH,L,F3ksVLYr9PrB2gri3vkiJ29NzBbu9Njj9QCJuhTsxRwTC56mPmiPm6bueJAR,"YELL
",decent
1000039,x2017abn,$13.00,-20032015,TECH,B,gPpPid5uPDWTJY2gJwib6wVjgf2u3hzvzYocdiJc8i7yKVLNqJoX8rpo07aQ,"ORAN
",used
1000040,x2014abo,0,-02102016,TECH,L,1Zyx8N1ofvRj2A0iGeFcgCbjBG6OXgWb8NmW0zbDpbLy7KhiwverOtWeSisp,"GREE
",mint
1000041,x2018abp,$59.00,-04062015,TECH,B,VNGH8sNEsLo3wm3EY9Eru7dg7OdoJC2FbLQK3kL2dLZM6nBKggTTM5bEHM03,"YELL
",used
1000042,x2020abq,0,-21112018,TECH,L,zLBbf2Tkh131LAsB7RxLj8IZdGEZiaajQ03ruy6bkVSGP4bFr5fIl2Re79FI,"ORAN
",used
1000043,x2018abr,$18.00,-01112020,TECH,B,LzzVTp9gdjMEftu1EIgpuN4LJzJBWDdA5hLIAuLfu8TrrF7oKZyCknHv7NcP,"RED
",used
1000044,x2017abs,0,-18002018,TECH,L,AR3igM9TW2gwqlXnb4aZjeXx3BdZXcBjlSqDiFvP1hIn8ejATEbxMtfVgh7n,"YELL
",used
1000045,x2019abt,$100.00,-04102020,TECH,B,rNNkGFaKOf1BnbiM6wJOSt9i6F5yQWTaFPUqu0bvGpHBJm1MOliZCVgAC0kK,"ORAN
",new
1000046,x2017abu,0,-15082020,TECH,L,om6aiixHvRvIhc6HeXZgFNCO5oEBMzTT6Dm94VyGiE4aWzOOFicu6XPz8FHX,"RED
",used
1000047,x2016abv,$103.00,-11112015,TECH,B,eouFIoKt1GWCl75alMmePXHqYB8ybuWVQPuBkkpSEcOcu1RpciuyXI0Nr38X,"RED
",poor
1000048,x2014abw,0,-02032015,TECH,L,dufAwXvDlGmrmemkeL2P8QDCVYmaS6phS7SxlRobxPChCiNQk0OqkywDlNaO,"ORAN
",new
1000049,x2017abx,$10.00,-18112017,TECH,B,66hONmnxLsizqPGbP6iuphlMA0rR5Y1E8RD1kA2YtapxgljwzkbdipO1ojAi,"ORAN
",mint
1000050,x2017aby,0,-16072016,TECH,L,8nHZbhuufr1ZOFTBj5OiynxOKDJIcSb2sbzGdj34WUaJfqJsHL4mRWYJ20HG,"BLUE
",mint
1000051,x2016abz,$39.00,-12042020,TECH,B,E90vstAIv69iPINw6LQciJhmqqaGYL8SBww2jS6H0yfErxfpFHlQgcCuhw8F,"RED
",poor
1000052,x2017aca,0,-16002017,TECH,L,WgsyWWgyrguEoUrjUrdIIwwGLnOwju43OYnUy9PS9iHlQecIlFWDL7lxOV9Q,"YELL
",new
1000053,x2020acb,$62.00,-16052015,TECH,B,TKZgPPfMS1hKm6rcFTGb1hFs4dnvDyW128EuQjf4hy7q27fan5IFDwBT5HoV,"ORAN
",new
1000054,x2017acc,0,-07022020,TECH,L,SnJBZiDWAx5fnApMubGBiNh1m4sy7BVOjpzkJ9JDXTcQBjIbFpbMpPlnNZlb,"ORAN
",used
1000055,x2017acd,$77.00,-20042015,TECH,B,ZhZfugX4aykfATOgQnHBAxeYIc41XqBlSqwEm0rgmqyFtOywfIRBIotNvoPb,"ORAN
",used
1000056,x2020ace,0,-06112016,TECH,L,Tfh3AEJUDOya5wdlCDDwDtvKD4KBVAbitoDyBldvwI8q7z76LjGS5Md3msMb,"RED
",mint
1000057,x2018acf,$113.00,-09062018,TECH,B,mrs5LMLtUA0GSKbBcjpvTouVolL9UfaVchh0KGMutzY6rvd8mn8DEgO2eXdC,"RED
",decent
1000058,x2014acg,0,-07032018,TECH,L,kRqQWDjkcKDrlvJww7w4dy2wsCIh5cLFuYd1JcM4YHcBUSb1ZKFz5OYvIFJo,"BLUE
",decent
1000059,x2016ach,$11.00,-00022020,TECH,B,5I1900PadLVY64uTKMvRDxdWVSZ6bfpg8cZxvypsgJ18NHDxPmep12WUHRx2,"GREE
",poor
1000060,x2016aci,0,-13112019,TECH,L,M55l7iIEqK4iCmHG6Y1TSzU3ZvrWYhGY6CeAjUV7bDQtOaOENHQGUHCZxJPi,"BLUE
",decent
1000061,x2017acj,$29.00,-23072017,TECH,B,7DmfdgHAQvZuYnfqz0sU66yKYNt3WuCuhPOqXQOfZyZIF0kiNXjA4qce66ME,"ORAN
",new
1000062,x2018ack,0,-23062019,TECH,L,9yHRYhCsTaehjEHe6LUfmeqjQIDmuyU1SHuv1Cdki18kykoaQvt6yhLPj6c6,"BLUE
",decent
1000063,x2016acl,$111.00,-04092019,TECH,B,lGi5noEOHbREAC66bq9d9w68eGMSZdmhGD3rkLlAihdSRqpVXjDmLxnwkynA,"YELL
",used
1000064,x2017acm,0,-21002017,TECH,L,721URRNbJDfG3eXKFr7iC9nuU1XLhsOaJK2FoqguHtd6tuMmYfsYMs1QWk7d,"GREE
",mint
1000065,x2018acn,$54.00,-24112016,TECH,B,sDR73tS7sjjUtORP4XmyUsutfq7k8Yxk939anlh9pEIJQ7bOrXsaiNi4nslY,"GREE
",poor
1000066,x2016aco,0,-04092017,TECH,L,LFDofFMskTJ7CyzMGISUpMBb9BIN0F1OlmLDukaBnxno9LpCDKNT2qiINR9J,"ORAN
",used
1000067,x2015acp,$42.00,-01002015,TECH,B,4JN9m1HZDHuIzctWqw8jIGMYPVDReQTYpMa4wXRyoRYwFhVuvenCSxhAVVD0,"YELL
",poor
1000068,x2017acq,0,-16002017,TECH,L,uJP7fAyaJisIUgM2aTPLX94MlBNIlg6UwouITpasctEH64ZCPr3Df6H4x3U9,"YELL
",mint
1000069,x2019acr,$19.00,-11072019,TECH,B,9g0CPXXBaqn32nPxCH1MwmiTASLXT6pyexTdWJbmLmP0Byw4inqzXwu6Ebb7,"RED
",decent
1000070,x2018acs,0,-23012015,TECH,L,FLMAeVr3NNw24fPMzicmiXI4SDi9L6iVZhw9s0dMNsXjrl7OibVhZ3K5nugZ,"GREE
",used
1000071,x2017act,$89.00,-16092016,TECH,B,zYiQGEj9qY2IZz4TzHlpWIcyD0BnZGvkPQeZQqbMU86JnyLLBMtlC1iSFEBl,"BLUE
",mint
1000072,x2015acu,0,-14042020,TECH,L,TlHaWFYoOb4twzMvxjrCbopds1PpbdNOE1xHg4LmDWEwLXyNG6joynEJSOBx,"BLUE
",poor
1000073,x2018acv,$23.00,-14012015,TECH,B,JpAQYL3hgd2Qke3qEvomBw3Ejur7WKSyTkFzT1wN5OVKGxRJ8BeGo8GytvaU,"ORAN
",new
1000074,x2018acw,0,-06022019,TECH,L,gik94uwh2JaHWThMsSYbUqsE98oOk1WzV7FYOgHiAnLNZJsmdkiR66CXNzEm,"BLUE
",poor
1000075,x2019acx,$49.00,-15092015,TECH,B,pFWlNmtbF0oxy1YPzsHy4OnH3BYMJy5SFBJl3zw8h2hLYLF6S764cnDrIVOR,"BLUE
",mint
1000076,x2016acy,0,-15012016,TECH,L,kmDEuP6Nb91LKRdmQJb2BtUbA3qFxT5qrNHFpN4ipF2IdA9JYmacWCfE2Lli,"YELL
",mint
1000077,x2020acz,$31.00,-02022016,TECH,B,iMD7FlJLbsSXF2Q3KDAEIxPcCvCQeYGKVW2F85DEiOHqjX3b524UQ8Cy04Wu,"GREE
",new
1000078,x2015ada,0,-12112020,TECH,L,P8vjIfkbbdu8vVp6yLcwxgcorLTsfaDn6fWxGK1ryTs4qkUucWUwHYYyfvPz,"GREE
",mint
1000079,x2017adb,$50.00,-15042016,TECH,B,pYZ0NGLZdXyqnCLaQUiUPip4EEo2SShauqF5zoZVMnnP6puf38dY3bxFBUAJ,"YELL
",used
1000080,x2020adc,0,-15042016,TECH,L,BY7T662ZyonuAxCLfaUeJxaHiD5Gv8vlJE8mtOVz4CzZam7FfR1rK90pZVcb,"RED
",decent
1000081,x2014add,$34.00,-10032016,TECH,B,9UiU4HXqP1oULXHNZnn64w0NzkrgICGjRixyp9JTjA60ViJM2MwFcIhsUAcY,"ORAN
",mint
1000082,x2017ade,0,-12042017,TECH,L,M0nsjF4SaNLiwpEHrnMk5vRKDKwZwEsfLczhns9yVITgr9LuzYXgH3p7qQaj,"YELL
",used
1000083,x2014adf,$43.00,-21092018,TECH,B,mozbDaTpipQVnmUbFHE2p9ZJoNnxR0CDpxjSgbZP0sC1My6gjEMr0Ef0wm1e,"RED
",new
1000084,x2017adg,0,-06102017,TECH,L,7AlduChb29bl9KsLDIS2PVvLxUwN91JkYryarkbtp7FJ8XmP9g3JM0aaI58l,"GREE
",mint
1000085,x2019adh,$120.00,-03032019,TECH,B,D6uncLofmJoRbHS6yghe1JlKzU9jwJefrPZcYB9nLw59Yc8ELJfyfDHqCRy9,"ORAN
",new
1000086,x2015adi,0,-04112017,TECH,L,0Te3SguTKBgYLJdCWJSjA0294pEF6oCgr5UDyuDRqvtSjmrQgoyXqfZnVttr,"ORAN
",poor
1000087,x2019adj,$106.00,-05092019,TECH,B,SVTA8DUjpYyTDn0BhHTvuvj1BNnywR2mi7geeU1FeBxGgqVJQDkLonKAZXsn,"ORAN
",used
1000088,x2020adk,0,-15032016,TECH,L,kMgRJipXsHuhp7qJQjnQPjTex5nqbhoutPxzDb51IEtuDzQBgXjVb4r8fnm5,"YELL
",used
1000089,x2015adl,$18.00,-16072018,TECH,B,44AakmlyE7rEa7LFJQzgq8PmxtprvgQFLgher5e8fqQSQGdaX4XKK4QvJ8mM,"YELL
",new
1000090,x2018adm,0,-11082018,TECH,L,wlJUHf6uWQlLzKRqKPvSBZvdCQw8JmoJaSznLOGrciK6fsK5obc4PZyG9U5v,"GREE
",poor
1000091,x2020adn,$114.00,-05042015,TECH,B,NfJuyKKuQ8ugKyZuqmBm6u5vrVui6agjjFXtAHDbQ1xR7l49kk3ar119MIeF,"RED
",poor
1000092,x2020ado,0,-08032019,TECH,L,sK2pvcxvDO8KQL9MeV1T71Igx4rVQw6kkLqcrLtdfd46Lf2oBvXvdbLT0AAl,"GREE
",new
1000093,x2014adp,$84.00,-20022016,TECH,B,nhrwRRzQuyWpjy84LItArRdcqAyUsvQPI1M0K5Y8A3zyjlmj5AWZtkz0xmJR,"YELL
",new
1000094,x2018adq,0,-08042015,TECH,L,DD43QUJlSF9IV4umb69FJ5o7EuRS3KlimxC978264XchYn98ka1TJfDNJp75,"BLUE
",poor
1000095,x2017adr,$23.00,-14052020,TECH,B,hz02ZdMnTOuySDsWahiwHNahK2M0eSsYqPVSedQuspafhtkoWhR5WVkQZ2r2,"ORAN
",used
1000096,x2016ads,0,-04052016,TECH,L,8Tk9f0GvBUghCNQm8wtB0uDu4ebSb9ttsWb15xr1rKpBJTneM7sWAo0CZS7f,"RED
",poor
1000097,x2019adt,$93.00,-15032016,TECH,B,YhUfyx0cHTQKXW8XhKIfMn58MmPE858VaZNuuwsKVJzIBQ5hsRY51EhgmLOT,"ORAN
",decent
