Apron, APRO
Baseball Cap, BASE
Bathing Suit, BATH
Belt, BELT
Blazer, BLAZ
Blouse, BLOU
Bow Tie, BOWT
Button-Down Shirt, BUTT
Camisole, CAMI
Capris, CAPR
Cape, CAPE
Cardigan, CARD
Coat, COAT
Costume, COST
Cowboy Boots, COWB
Crown, CROW
Cuff Links, CUFF
Dress Shirt, DRES
Dress Pants, DREP
Earmuffs, EARM
Earrings, EARR
Flannel Shirt, FLAN
Flip-Flops, FLIP
Fur Coat, FURC
Gloves, GLOV
Hand Bag, HAND
Handkerchief, HANK
Hawaian Shirt, HAWA
Helmet, HELM
High Heels, HIGH
Hoodie, HOOD
Housecoat/Robe, HOUS
Jacket, JACK
Jewelry, JEWE
Jumpsuit, JUMP
Khakis, KHAK
Lab Coat, LABC
Leggings, LEGG
Long Johns, LONG
Mittens, MITT
Nightgown, NIGH
Overalls, OVER
Pajamas, PAJA?Pants, PANT
Parka, PARK
Raincoat, RAIN
Sandals, SAND
Shorts, SHOR
Slippers, SLIP
Sneakers, SNEAK
Sombrero, SOMB
Spacesuit, SPAC
Sunglasses, SUNG
Sweatpants, SWEA
Swimsuit, SWIM
Tank top, TANK
Turtleneck, TURT
Umbrella, UMBR
Waistcoat, WAIS
Windbreaker, WIND
Like New, NEW
Very Good, VGOO
Good, GOOD
Fair, FAIR
Poor, POOR
Adidas, ADID
Adidas by Stella McCartney, ADIS
Banana Republic Woman, BANA
Barts, BART
Boss Hugo Boss, BOSS
Boss Orange, BOSO
Burlington, BURL
Calvin Klein Jeans, CALV
Calvin Klein Underwear, CALU
Chantelle, CHAN
Cheek by Lisca, CHEE
Cocoa, COCO
Colmar Originals, COLM
Comma, COMM
Desigual Accessories, DESI
Emme by Marella, EMME
Emporio Armani Underwear Woman, EMPO
Etam, ETAM
Falke, FALK
Frank Lyman, FRAN
Furla, FURL
Gap, GAP
Geox, GEOX
Gioseppo, GIOS
Guess, GUES
Helly Hansen, HELL
Inuovo, INUO
Marc O´Polo, MARC
Marella, MARE
MaxMara Leisure, MAXM
Melluso, MELL
Menbur, MENB
Michael Kors, MICH
Monari, MONA
More&More, MORE
Nancy Swimwear, NANC
Nero Giardini, NERO
Nike, NIKE
North Sails, NORTH
Olsen, OLSE
Oroblu, OROB
Ory, ORY
Palmers, PALM
Passionata, PASS
Patrizia Pepe, PATR
Pedro Miralles, PEDR
Pennyblack, PENN
Pinko, PINK
Pletix, PLET
Polzela, POLZ
Promise, PROM
Punt Roma, PUNT
Salsa , SALS
Speedo, SPEE
Tommy Hilfiger, TOMM
Topshop, TOPS
UGG, UGG
Under Armour, UNDE
Unisa, UNIS
United Nude, UNIT
Versace Jeans Couture, VERS
Wallis, WALL
Weekend MaxMara, WEEK
Wigglesteps, WIGG
WomenSecret, WOME
Red, RED
Orange, ORAN
Yellow, YELL
Green, GREE
Blue, BLUE
Purple, PURP
Brown, BROW
Olive, OLIV
Maroon, MARO
Navy, NAVY
Aquamarine, AQUA
Turquoise,  TURQ
Silver,  SILV
Gold, GOLD
Teal, TEAL
Indigo, INDI
Violet, VIOL
Pink, PINK
Black, BLAC
White, WHIT
Grey, GREYTelevisions, TELE
DVD Player, DVDP
Cassette Player, CASS
Laptop, LAPT
Desktop Computer, DESK
Mobile Phone, MOBI
iPod, IPOD
MP3 Player, MP3P
Camera, CAME
Gaming Consoles, GAMI
Printer, PRIN
Radio, RADI
Tablet, TABL
eReader, EREA
Moniter, MONI
Accordion, ACCO
Bagpipes, BAGP
Banjo, BANJ
Bass guitar, BASG
Bassoon, BASS
Berimbau, BERI
Bongo, BONG
Cello, CELL
Clarinet, CLAR
Clavichord, CLAV
Cor anglais, CORA
Cornet, CORN
Cymbal, CYMB
Dhime, DHIN
Didgeridoo, DIDG
Dizi, DIZI
Double bass, DOUB
Drum kit, DRUM
Erhu, ERHU
Euphonium, EUPH
Fiddle, FIDD
Flute, FLUT
French horn, FREN
Glass harmonica, GLAS
Glockenspiel, GLOC
Gong, GONG
Guitar, GUIT
Hang, HANG
Harmonica, HARM
Harmonium, HARN
Harp, HARP
Harpsichord, HARD
Hammered dulcimer, HAMM
Hulusi, HULU
Hurdy gurdy, HURD
Jew’s harp, JEWS
Kalimba, KALI
Lute, LUTE
Lyre, LYRE
Mandolin, MAND
Marimba, MARI
Melodica, MELO
Oboe, OBOE
Organ, ORGA
Pennywhistle, PENN
Piano, PIAN
Piccolo, PICC
Pipa, PIPA
Pungi, PUNG
Recorder, RECO
Santoor, SANT
Sarod, SARO
Saxophone, SAXO
Shehnai, SHEH
Sheng, SHEN
Sitar, SITA
Steelpan, STEE
Suona, SUON
Synthesizer, SYNT
Tabla, TABL
Tambourine, TAMB
Timpani, TIMP
Triangle, TRIA
Trombone, TROM
Trumpet, TRUM
Theremin, THER
Tuba, TUBA
Ukulele, UKEL
Viola, VIOA
Violin, VIOL
Vocal cords, VOCA
Whamola, WHAM
Xylophone, XYLO
Zither, ZITH
XXS, XXS
XS, XS
S, S
M, M
L, L
XL, XL
XXL, XXL
Size 00, 00
Size 1, 1
Size 2, 2
Size 3, 3
Size 4, 4
Size 5, 5
Size 6, 6
Size 7, 7
Size 8, 8
Size 9, 9
Size 10, 10
Size 11, 11
Size 12, 12
Size 13, 13
Size 14, 14
Size 15, 15
Size 16, 16
Apple, APPL\
Google, GOOG\
Microsoft, MICR\
Accenture, ACCE\
Alphabet, ALPH\
Huawei, HUAW\
Intel, INTE\
Samsung, SAMS\
Cisco Systems, CICS\
Nokia, NOKI\
Android, ANDR\
Linux, LINU\
Lenovo, LENO\
Hewlett-Packard, HEWL\
Amazon, AMAZ\
Rakuten, RAKU\
IBM, IBM\
Dell, DELL\
Hitachi, HITA\
Panasonic, PANA\
Technology, TECH\
Homeware. HOME\
Clothing, CLOT\
Sporting goods, SPOR\
Textbook, TEXT\
Musical instruments, MUSI\
Miscellaneous, NULL \
