itemID,userID,listPrice,datePosted,category,postType,itemDescription,keywords,condition
1000000,x2016auf,0,05052016,TECH,L,DKcG14gFrKLEF2jeOxcB4IiKBVb8JC4CbhvcNjvrrnSC7FdnlRvx3jFpbEAn,WHIT,poor
1000001,x2019aqv,$29.00,14062017,TECH,B,gCuD0m65qVtIpcuN0G00O3sDS1qKcuxgmUJzJz92a8HXSQ4dz7RWfOUgxVRO,WHIT,used
1000002,x2017aam,0,05002020,TECH,L,IXcgCfsPVB8bvmCKmXDc2JU4WJQg0btFGu7rJjpHPthXUQx1P4E2VjIOfgbb,OLIV,mint
1000003,x2018atm,$19.00,04082018,TECH,B,p8V7qrUDLSLMwlhdxDPguOaaRR2OpefUlSpo9uubKQLSvqIXpm7QPMRiOXfD,TEAL,mint
1000004,x2019bfu,0,01022020,TECH,L,jFQMF6SRejElQpG02Ejnt4YMc0lQq3qztMhiXuWAdQp86v5OlGGVl6POdoQ1,GREY,decent
1000005,x2015awn,$22.00,04012017,TECH,B,lkQ0sHisKZFwzhggYJ01geHR3c4zQG0hiewKUZyP2w4JgeX3P8tunpZ964wy,BROW,decent
1000006,x2020asa,0,15052017,TECH,L,RvIJgcUNupHvfxtJYJIdpfts1I8l1BlndvqlYfoU65MGytCBppblLNBbWZXc,YELL,used
1000007,x2020aao,$64.00,18082015,TECH,B,ceBMdibN9cacEDNiO4uVN7FRfYGeAky7WFIaEVMCBlJwqMFGq6cXJMgpOfVR,MARO,used
1000008,x2016ate,0,03052015,TECH,L,7afa3ED0khJ8msD8Mg9YEFqCJBDRnPxartw3W2mXYlX3w3vieg9se9ECK1xD,GOLD,decent
1000009,x2018bgp,$27.00,19062017,TECH,B,y2PYyOE7DFFAj9hNsMpk9Nu4fDU9zuINM0SHIKxy8PzVWkpXMDnD5DDw5Ae0,TURQ,poor
1000010,x2016bbt,0,21112016,TECH,L,dNSAfxd1SUCRVHLSg9LAvoQmuv8N3WfM6145DL2LAZSa3YioeaFCLFh42EiK,GREY,new
1000011,x2016blg,$86.00,22032018,TECH,B,BKqb3g6uE1JDLQRjcX7kXRUuM16ls71U6PE4pOu3AwOOVMhrtEbaEOXl0Iw6,INDI,decent
1000012,x2018atm,0,21062020,TECH,L,y48NaAXWP71ynKwPcfdPRctAy4faxlbdWXHSVPRqbuKvyfLqt45Xv6OqcKDl,NAVY,decent
1000013,x2014bbr,$43.00,17022017,TECH,B,3kREFFKXnVqFaj5yv8hQzIHelW4m8iVOfkvZtgqPrYQ249rqoGr95NHBra18,SILV,new
1000014,x2014ali,0,14082020,TECH,L,BxNaxjGulKokTXEGMOZl6OJ2Gx6jQQTxp7XfMGYZuA1rsyB3Uwk9Fe8jR7lL,OLIV,new
1000015,x2017abe,$106.00,11072020,TECH,B,zj0t5Fz9Et0cxS8FR932noZZSO4E7hXi4Yx3fMKW2gOezgirjoGhlxCz82qw,BROW,new
1000016,x2016anr,0,02092016,TECH,L,v8mdvLJhulhKfKn8fHp4ytv375UProHDD2AzETxS9ZgGHZ1djHQxkyks7uht,PURP,decent
1000017,x2017asp,$111.00,21102018,TECH,B,RxDJbM0Cd2K4Yt5aZpFNYMp8MeOIKWA71DdBxPptvlxgjWgFZElGHJw0tsCu,NAVY,mint
1000018,x2016bhc,0,06022020,TECH,L,kO6iDWn3FZmWAiEiON4mIZgFiJVh9q5j4lGCjM2ntI5t2g7eFftnvuw0SWQo,BROW,used
1000019,x2018bls,$29.00,05012016,TECH,B,pd2ZBIdcZY0ia8YvcBp9nbbhIvHu6BR5YGXg357UcVNyVHqSFEF1PnmZr49A,BLUE,poor
1000020,x2018apx,0,05102020,TECH,L,13ZYqdssQ8SRyHwKLZ4kHHmKFPArPfaqZ5484iZe9HD5iiIaTEu45Otg0fgE,RED,decent
1000021,x2019adh,$46.00,16042017,TECH,B,FBxiOzIBpLb70Rx5tY90vKStnTcaDs0BTSFvaRovuLTNnIAzOD1GREUaoUhc,NAVY,used
1000022,x2019bhq,0,06102017,TECH,L,XfqMSBd8um1XsCNZQLMADzoBogvaVBjiXgqflVQMzLBKDgEF6DXwAaRF33E6,PINK,new
1000023,x2015apd,$25.00,16112016,TECH,B,DflYGvPzIl2XAklsqPLD2eHFkZCvwQ6uM1Y3mFCDDpYZMImABhAKOoBZjFcM,PINK,poor
1000024,x2016aer,0,17052017,TECH,L,CErtrMCJUqWVa3m3ztcwLGavEcJIMWxpPAJQ9AQD415pEp1wNdKAxpvFqAnU,ORAN,used
1000025,x2014agz,$46.00,13012017,TECH,B,eOgfNMmKUV0BFNI02egZtvuOrhPUux5l1DFrl8imdX7lfpEEDswiJxp1ddFc,GREE,decent
1000026,x2020bjs,0,19062016,TECH,L,iba4MCyuCf3cmDKLNWIVvFJHR1WNQpX7f5Yy2b2Sr5ubJxzTBHZ7oG5yHfvo,OLIV,poor
1000027,x2020akm,$50.00,05002019,TECH,B,aM8bXTXH1TOntOIUpEcr26kKGfa5yINheViqlB4o94j1HRrBr9IrL46PJGlz,MARO,used
1000028,x2016beo,0,13042018,TECH,L,GCcofwbLBe8QhbYrXiC8UZB8xOA4dmtipQSLAnrQVslBVHDCyOxIGvDI4K6Y,OLIV,poor
1000029,x2018bed,$20.00,02092019,TECH,B,hTlKJHA7TwMkYVDMaUpmic7zzVb2sqLlDYe0Fqv1LRcwDbj6wHyADLW2cf5e,TEAL,poor
1000030,x2017ade,0,22092017,TECH,L,DkNGABT00g5yj9islSASBPFHFz94DtxreD8TRsmBxt5A2Wbql2mZ2v3ljGpO,GREY,decent
1000031,x2019bhg,$88.00,19012018,TECH,B,zxTHSRsJmLjJLveq6YlF1XGV7LoVdzYiu4VXX7qkkK5I7ljieSD8fFPliFCe,BLUE,used
1000032,x2020asa,0,21082015,TECH,L,9G2WsCMWu11MHvTdlHNO43CzHZ10ZlKHZNCcGJSATnmUGXkTjHMtv10H5oOM,GREE,mint
1000033,x2014bil,$111.00,15082015,TECH,B,6oLXz3wDhCZkqKP6mnYu84tbSSddfv76dStpGhEEPljrCzV9XJ62qPChJ7Wu,GREE,new
1000034,x2018amq,0,07112016,TECH,L,3fGGHbr9aBtagZD4QGFr8Qms0t1MynRww1mlEHuaZMyZcoWYneZob0rrwbCR,NAVY,used
1000035,x2014add,$17.00,13052015,TECH,B,Jo4OC69Mw81EWD9nuKkI7JZK0eph9IM7jD5Rd4p0VIR1YJ1hKc4ZQpOYBDED,TEAL,mint
1000036,x2016ati,0,06092020,TECH,L,rJ8yo7oHw9BLPIjHlRilOgNw2JUV48htReuH85eVm9gXaTy6drV7B53ahwMp,YELL,mint
1000037,x2017aey,$73.00,06072017,TECH,B,QH0CazS3QAVca7r3yiiwtfaNOJ6Im2VT3CVQOW7JYGruFw8iEZYVlK0UvOva,TEAL,used
1000038,x2020bjs,0,03062017,TECH,L,iehtKt2sF7ppJUGaQvNpzZKGB342zpwm06IB5DYrNykrJlwMTBaLsbjI2hL3,TEAL,used
